ticker,tier,dead,date,close_unadj,mcap,n,implied_spot,totvol,totoi,n_oi_pos,zero_bid,med_spread,earn_n,earn_covers_date
MIR,cap500,False,2023-07-31,7.55,1704.4,66,7.6000000000000005,1681.0,19426.0,31.0,0.3484848484848485,0.2857142857142858,25,True
MITK,cap500,False,2026-03-25,14.17,642.1,100,14.549999999999999,839.0,17539.0,57.0,0.26,0.31749919432806967,107,True
MOD,cap500,False,2014-10-06,11.65,557.8,82,11.700000000000001,15.0,215.0,10.0,0.4024390243902439,0.14925373134328357,122,True
MTRN,cap500,False,2020-12-24,62.73,1275.1,132,63.4,0.0,90.0,19.0,0.30303030303030304,0.3698955974305289,122,True
MTSI,cap500,False,2018-04-16,17.525,1128.7,88,17.275,659.0,10810.0,69.0,0.2727272727272727,0.11714285714285716,58,True
MVBF,cap500,False,2021-11-08,41.86,504.0,0,,,,,,,90,True
OCSL,cap500,False,2016-07-21,5.46,793.4,0,,,,,,,73,True
ONDS,cap500,False,2025-08-14,3.93,861.3,284,3.9250000000000003,89920.0,364058.0,215.0,0.2147887323943662,0.08955223880597009,33,True
OSIS,cap500,False,2023-05-09,118.22,1977.6,230,118.7,10.0,251.0,30.0,0.3565217391304348,0.1881508660227702,115,True
PJT,cap500,False,2018-03-29,50.1,945.0,78,50.075,19.0,280.0,18.0,0.32051282051282054,0.1724137931034483,44,True
PRDO,cap500,False,2019-03-18,16.56,1155.4,0,,,,,,,114,True
PRTS,cap500,False,2021-07-27,17.41,837.3,130,17.425,591.0,18202.0,86.0,0.13076923076923078,0.06451612903225812,79,True
PZZA,cap500,False,2017-12-07,56.67,1985.8,160,56.800000000000004,876.0,16776.0,113.0,0.20625,0.11764705882352952,122,True
RIVN,cap500,False,2024-05-10,9.99,9943.2,778,9.99,166750.0,2711787.0,643.0,0.12082262210796915,0.14213564213564212,25,True
RZLT,cap500,False,2025-09-19,7.7,699.2,64,7.8,171.0,20420.0,36.0,0.421875,0.6329113924050632,55,True
TDY,cap500,False,2009-02-10,26.88,964.2,54,27.200000000000003,4.0,1406.0,33.0,0.2777777777777778,0.2400000000000001,107,True
TEX,cap500,False,2012-01-17,16.89,1852.8,274,16.91,7269.0,99218.0,196.0,0.20802919708029197,0.07650273224043708,121,True
TXNM,cap500,False,2009-05-26,9.61,832.4,0,,,,,,,114,True
TYL,cap500,False,2008-09-24,15.19,585.1,26,15.399999999999999,0.0,69.0,7.0,0.15384615384615385,0.4795904799893631,113,True
UDR,cap500,False,2009-04-22,9.75,1451.0,46,9.625,35.0,2159.0,34.0,0.10869565217391304,0.2400000000000001,114,True
UNM,cap500,False,2009-03-04,9.28,3073.2,114,9.25,403.0,43074.0,81.0,0.18421052631578946,0.07547169811320761,122,True
UP,cap500,False,2025-10-06,2.09,1460.5,104,2.125,17636.0,118197.0,81.0,0.16346153846153846,0.3529411764705883,24,True
VRNS,cap500,False,2018-02-14,51.95,1462.8,80,52.3,143.0,2595.0,47.0,0.225,0.1565526899288131,50,True
VRTS,cap500,False,2017-03-23,101.4,586.8,0,,,,,,,70,True
WCN,cap500,False,2008-02-11,29.27,1963.0,26,29.375,100.0,1621.0,15.0,0.15384615384615385,0.22441126673849465,113,True
WRBY,cap500,False,2023-08-21,12.3,1440.3,150,12.325,212.0,9748.0,75.0,0.24666666666666667,0.22727272727272735,25,True
AAC2,cap500,True,2021-11-11,9.84,1230.0,0,,,,,,,0,
ABII,cap500,True,2009-12-15,38.54,1545.7,0,,,,,,,0,
ACQR,cap500,True,2021-03-24,10.03,501.5,0,,,,,,,0,
APPCQ,cap500,True,2008-04-02,9.9,704.1,0,,,,,,,0,
