ticker,n,incoherence_before,incoherence_after,f_min,f_max
UVN,310,0.0,0.0,1.0,1.0
VAR,3846,0.7241289651586064,0.0,0.8789803816895768,1.0058043469050544
VIAB,3505,0.9560627674750357,0.0,0.7883868410622276,1.0048594609637576
WAMUQ,713,0.726507713884993,0.0,0.8635578174931944,1.005524861878453
WB,3111,0.9691417550626809,0.0,0.7132986015903482,1.001649620587265
WBA,4945,0.9575328614762386,0.0,0.581919111816019,1.0094763092269328
WCG,3538,0.0,0.0,1.0,1.0
WEN,5197,0.9790263613623245,0.0,0.48346898680886896,1.0089417127577964
WFM,2934,0.9369461486025903,0.0,0.8506191247974068,1.0001195457262402
WPX,2282,0.0,0.0,1.0,1.0
WRK,2273,0.9555653321601408,0.0,0.6804295346707733,1.0020817562452686
WU,5009,0.9884208424835297,0.0,0.45835045494570004,1.005743458838545
WWY,695,0.7841726618705036,0.0,0.9461203353608417,1.000913160138948
WYE,954,0.8480083857442348,0.0,0.9117937927406629,1.002291189335555
X,4895,0.8008171603677222,0.0,0.8449747266956625,1.006785624528776
XEC,3964,0.9185166498486378,0.0,0.8777634509436174,1.0028001018218844
XLNX,4057,0.8856297756963273,0.0,0.7126053714957852,1.0146583978268668
XRX,5197,0.9697902636136232,0.0,0.4467512376237624,1.0142608695652173
XTO,1128,0.6445035460992907,0.0,0.9155233331803789,1.0045454545454546
