ticker,src,n,med_o_c,min_o_c,max_o_c,frac_close_outside_lowhigh
BANC,local,5201,1.0,0.758342977077246,1.4200709987646276,0.0
BANF,local,5201,1.0,0.7953747130462089,1.2083027266467332,0.0
BANR,local,5201,1.000427542930431,0.7230154439685799,1.6045454348414394,0.0
BATRA,local,2612,1.0010173846739536,0.872682300323707,1.8045112735201176,0.0
BATRK,local,2612,1.0,0.8527918391621028,1.4106583282245237,0.0
BAX,local,5201,0.9996282976266266,0.8878048532377414,1.0950515568263952,0.0
BBIO,local,1808,1.0006106096172553,0.788780491526534,1.287405822094468,0.0
BBT,local,5201,1.0,0.8901809081624751,1.1936254433920592,0.0
BBWI,local,5201,1.0,0.758431373710119,1.230042976343417,0.0
BBY,local,5201,1.0,0.8643056123640519,1.139398292439035,0.0
BC,local,5201,1.0,0.6786885133131764,1.3930348087568654,0.0
BCC,local,3416,1.0,0.8592622231868583,1.331893415603361,0.0
BCO,local,5201,1.0,0.8913087170902327,1.184350677104862,0.0
BCPC,local,5201,0.9994285583496094,0.8807388030829633,1.2265517136146282,0.0
BDC,local,5201,0.999541168669565,0.7873734095394236,1.2535120914455535,0.0
BDX,local,5201,0.9995199893631141,0.927335223300206,1.1080279138730589,0.0
BE,local,2040,1.0015844245860834,0.7299771489152663,1.3000000310980762,0.0
BEAM,local,1654,1.0018204459054805,0.7964998932706412,1.28,0.0
BELFA,local,5201,1.0,0.6415335595257929,1.242187451687642,0.0
BEN,local,5201,0.9997025829344992,0.8745963437420026,1.1961814423939838,0.0
BEPC,local,1537,1.0007111859821547,0.9194865900997105,1.1417612998754043,0.0
BETA,local,210,1.0006423131457072,0.8785350501180841,1.1475000381469727,0.0
BF.B,local,5201,0.999755369405322,0.8615140368940327,1.163561963726562,0.0
BFAM,local,3424,0.9995921767640046,0.8473082439897844,1.211346925025104,0.0
BFH,local,5201,0.9996467276331689,0.807188769834073,1.275099528402802,0.0
BG,local,5201,0.9998573365262674,0.8596083963310922,1.17597823156098,0.0
BGC,local,5201,1.0,0.7378047732885732,1.2145748847168965,0.0
BHE,local,5201,1.0,0.8173237134901864,1.2615803864277857,0.0
BHF,local,2298,0.9995239469716068,0.7534754534924677,1.2054896551802203,0.0
BHVN,local,991,1.0027662490835065,0.706122417839206,1.1645445934279044,0.0
BIIB,local,5201,1.0000667629301272,0.7119759116829213,1.1144947143454844,0.0
BILL,local,1691,1.0002083417625236,0.770523985938741,1.2027218248410811,0.0
BIO,local,5201,0.9994680892843397,0.8683629518289022,1.2827091217497955,0.0
BIPC,local,1617,0.9992436011242488,0.9144625538206114,1.1871542527516026,0.0
BJ,local,2058,0.999554054356162,0.8768669370126109,1.1679389118474448,0.0
BKD,local,5201,1.0003767264954144,0.7759259228189623,1.5218120195925668,0.0
BKE,local,5201,1.0,0.8521624383023988,1.1598078891181154,0.0
BKH,local,5201,0.9995674292724308,0.8909090909090909,1.1217357299389095,0.0
BKNG,local,5201,0.9996114967905817,0.864115864445656,1.1136605628783107,0.0
BKR,local,5201,1.0001229367767384,0.8487394280683674,1.200988477917585,0.0
BKU,local,3924,0.9997086152217254,0.8255451417226366,1.312691633872782,0.0
BKV,local,487,0.998620658085264,0.8837614211533026,1.1098236908454089,0.0
BLDR,local,5201,1.0,0.7258064405510022,1.7850466466442598,0.0
BLK,local,5201,0.9998124746014656,0.8531330419712312,1.1335069983234711,0.0
BLKB,local,5201,0.9992596527823512,0.8198491907975228,1.2079963662695425,0.0
BLLN,local,208,1.000217087057075,0.864363653009588,1.1829403983432891,0.0
BLTE,local,1092,0.9989958389601323,0.8263735928378262,1.2849162869635042,0.0
BMI,local,5201,1.0,0.7808219178082192,1.2778260604194975,0.0
BMNR,local,315,1.0087673176515894,0.424296287254051,1.8133992153799074,0.0
BMRN,local,5201,1.0,0.8511937661789708,1.1562074310615762,0.0
BMY,local,5201,0.9998248059998832,0.9156682092458063,1.1271582814226877,0.0
BNL,local,1499,0.9994649422902041,0.9407552169432167,1.0646829911939342,0.0
BNY,local,5201,0.9996298267959365,0.8325581513634024,1.2969810917692364,0.0
BOBS,local,147,0.9978201136405568,0.8445145812812778,1.0852557076258458,0.0
BOH,local,5201,0.9995294309129902,0.8823082625849888,1.2831857728675586,0.0
BOKF,local,5201,0.9995363403290286,0.8860118385531592,1.1722801194932877,0.0
BOOT,local,2979,0.9994222860086442,0.8406149378580089,1.3632887358390533,0.0
